,Diseases,Number of times a disease occurred in polygenic risk score's related articles
26737,Venous thromboembolism - composite,0
26738,Physical activity group - low (UKB data field 22032) (Gene-based burden),0
26739,"ICD10 O99.0: Anemia complicating pregnancy, childbirth and the puerperium",0
26740,Physical activity group - moderate (UKB data field 22032) (Gene-based burden),0
26741,Venous thromboembolism / Deep vein thrombosis,0
26742,Irritability (UKB data field 1940) (Gene-based burden),0
26743,"ICD10 N83.8: Other noninflammatory disorders of ovary, fallopian tube and broad ligament",0
26744,Ischemic stroke or cardioembolic stroke (Gene-based burden),0
26745,ICD10 N89.8: Other specified noninflammatory disorders of vagina,0
26746,Longest period of mania or irritability - At least a day but less than a week (UKB data field 20492) (Gene-based burden),0
26747,ICD10 O20: Hemorrhage in early pregnancy,0
26748,Longest period of mania or irritability - Less than 24 hours (UKB data field 20492) (Gene-based burden),0
26749,ICD10 D06: Carcinoma in situ of cervix uteri,0
26750,Longest period of unenthusiasm/disinterest (UKB data field 5375) (Gene-based burden),0
26751,"ICD10 O99: Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",0
26752,Lymphocyte count (UKB data field 30120) (Gene-based burden),0
26753,ICD10 N84.1: Polyp of cervix uteri,0
26754,Lymphocyte percentage (UKB data field 30180) (Gene-based burden),0
26755,ICD10 Z34: Encounter for supervision of normal pregnancy,0
26756,Manic hyper symptoms - I was more active than usual (UKB data field 6156) (Gene-based burden),0
26757,ICD10 E28: Ovarian dysfunction,0
26758,Manic hyper symptoms - I was more talkative than usual (UKB data field 6156) (Gene-based burden),0
26759,ICD10 Z34.8: Encounter for supervision of other normal pregnancy,0
26760,Manic hyper symptoms - I needed less sleep than usual (UKB data field 6156) (Gene-based burden),0
26761,ICD10 N83.2: Other and unspecified ovarian cysts,0
26762,Manic hyper symptoms - I was more creative or had more ideas than usual (UKB data field 6156) (Gene-based burden),0
26763,ICD10 N75: Diseases of Bartholin's gland,0
26764,Manic hyper symptoms - All of the above (UKB data field 6156) (Gene-based burden),0
26765,ICD10 O02: Other abnormal products of conception,0
26766,Manic hyper symptoms - None of the above (UKB data field 6156) (Gene-based burden),0
26767,ICD10 N81.1: Cystocele,0
26768,Manifestations of mania or irritability - I needed less sleep than usual (UKB data field 20548) (Gene-based burden),0
26769,ICD10 Z37: Outcome of delivery,0
26770,Manifestations of mania or irritability - I was easily distracted (UKB data field 20548) (Gene-based burden),0
26771,ICD10 O48: Late pregnancy,0
26772,Manifestations of mania or irritability - I was more active than usual (UKB data field 20548) (Gene-based burden),0
26773,ICD10 N94.8: Other specified conditions associated with female genital organs and menstrual cycle,0
26774,Manifestations of mania or irritability - I was more confident than usual (UKB data field 20548) (Gene-based burden),0
26775,ICD10 N73: Other female pelvic inflammatory diseases,0
26776,Manifestations of mania or irritability - I was more creative or had more ideas than usual (UKB data field 20548) (Gene-based burden),0
26777,ICD10 N94.1: Dyspareunia,0
26778,Manifestations of mania or irritability - I was more restless than usual (UKB data field 20548) (Gene-based burden),0
26779,ICD10 C50: Malignant neoplasm of breast,0
26780,Manifestations of mania or irritability - I was more talkative than usual (UKB data field 20548) (Gene-based burden),0
26781,"ICD10 N97.9: Female infertility, unspecified",0
26782,Manifestations of mania or irritability - My thoughts were racing (UKB data field 20548) (Gene-based burden),0
26783,ICD10 N86: Erosion and ectropion of cervix uteri,0
26784,Maximum frequency of taking cannabis - Every day (UKB data field 20454) (Gene-based burden),0
26785,"ICD10 N94.6: Dysmenorrhea, unspecified",0
26786,Maximum frequency of taking cannabis - Less than once a month (UKB data field 20454) (Gene-based burden),0
26787,"ICD10 N92.6: Irregular menstruation, unspecified",0
26788,Maximum frequency of taking cannabis - Once a month or more but not every week (UKB data field 20454) (Gene-based burden),0
26789,Maximum frequency of taking cannabis - Once a week or more but not every day (UKB data field 20454) (Gene-based burden),0
26790,ICD10 O16: Unspecified maternal hypertension,0
26791,Maximum heart rate during fitness test (UKB data field 6033) (Gene-based burden),0
26792,ICD10 Z30.2: Encounter for sterilization,0
26793,Maximum workload during fitness test (UKB data field 6032) (Gene-based burden),0
26794,ICD10 D24: Benign neoplasm of breast,0
26795,Seropositivity for Merkel Cell Polyomavirus (UKB data field 23067) (Gene-based burden),0
26796,ICD10 N95.1: Menopausal and female climacteric states,0
26797,Mean corpuscular haemoglobin (UKB data field 30050) (Gene-based burden),0
26798,ICD10 Z97.5: Presence of (intrauterine) contraceptive device,0
26799,Mean corpuscular haemoglobin concentration (UKB data field 30060) (Gene-based burden),0
26800,ICD10 Z39: Encounter for maternal postpartum care and examination,0
26801,Mean corpuscular volume (UKB data field 30040) (Gene-based burden),0
26802,ICD10 N61: Inflammatory disorders of breast,0
26803,Mean platelet thrombocyte volume (UKB data field 30100) (Gene-based burden),0
26804,"ICD10 N83: Noninflammatory disorders of ovary, fallopian tube and broad ligament",0
26805,Mean reticulocyte volume (UKB data field 30260) (Gene-based burden),0
26806,ICD10 N84: Polyp of female genital tract,0
26807,Mean sphered cell volume (UKB data field 30270) (Gene-based burden),0
26808,ICD10 O69: Labor and delivery complicated by umbilical cord complications,0
26809,Mean time to correctly identify matches (UKB data field 20023) (Gene-based burden),0
26810,"ICD10 N91: Absent, scanty and rare menstruation",0
26811,Mean spherical equivalent (Gene-based burden),0
26812,ICD10 Z33: Pregnant state,0
26813,Mean spherical equivalent (first instance) (Gene-based burden),0
26814,ICD10 N97: Female infertility,0
26815,Mean spherical equivalent - started wearing glasses or contacts before 40 (Gene-based burden),0
26816,ICD10 Z30.8: Encounter for other contraceptive management,0
26817,Blood pressure medication use (UKB data field 6153) (Gene-based burden),0
26818,ICD10 N87: Dysplasia of cervix uteri,0
26819,ICD10 N85.0: Endometrial hyperplasia,0
26820,Matrix pattern completion - Item selected for each puzzle - 1 (UKB data field 6332) (Gene-based burden),0
26821,ICD10 N87.0: Mild cervical dysplasia,0
26822,Matrix pattern completion - Item selected for each puzzle - 2 (UKB data field 6332) (Gene-based burden),0
26823,ICD10 N90.8: Other specified noninflammatory disorders of vulva and perineum,0
26824,Matrix pattern completion - Item selected for each puzzle - 4 (UKB data field 6332) (Gene-based burden),0
26825,ICD10 O03.9: Complete or unspecified spontaneous abortion without complication,0
26826,Matrix pattern completion - Item selected for each puzzle - 6 (UKB data field 6332) (Gene-based burden),0
26827,ICD10 N81.2: Incomplete uterovaginal prolapse,0
26828,Matrix pattern completion - Item selected for each puzzle - 7 (UKB data field 6332) (Gene-based burden),0
26829,ICD10 N85.4: Malposition of uterus,0
26830,Matrix pattern completion - Item selected for each puzzle - top left (UKB data field 6332) (Gene-based burden),0
26831,ICD10 N84.0: Polyp of corpus uteri,0
26832,Seropositivity for Human Polyomavirus JCV (UKB data field 23066) (Gene-based burden),0
26833,ICD10 O63: Long labor,0
26834,Keyed up or on edge during worst period of anxiety (UKB data field 20423) (Gene-based burden),0
26835,ICD10 O36.8: Maternal care for other specified fetal problems,0
26836,Knee pain for three months (UKB data field 3773) (Gene-based burden),0
26837,ICD10 O42: Premature rupture of membranes,0
26838,Direct low density lipoprotein levels (UKB data field 30780) (Gene-based burden),0
26839,ICD10 N92.0: Excessive and frequent menstruation with regular cycle,0
26840,Leg fat free mass left (UKB data field 23117) (Gene-based burden),0
26841,ICD10 N88.8: Other specified noninflammatory disorders of cervix uteri,0
26842,Leg fat free mass right (UKB data field 23113) (Gene-based burden),0
26843,"ICD10 O46.9: Antepartum hemorrhage, unspecified",0
26844,Leg fat mass left (UKB data field 23116) (Gene-based burden),0
26845,"ICD10 N87.9: Dysplasia of cervix uteri, unspecified",0
26846,Leg fat mass right (UKB data field 23112) (Gene-based burden),0
26847,ICD10 O70.0: First degree perineal laceration during delivery,0
26848,Leg fat percentage left (UKB data field 23115) (Gene-based burden),0
26849,ICD10 N85.8: Other specified noninflammatory disorders of uterus,0
26850,Leg fat percentage right (UKB data field 23111) (Gene-based burden),0
26851,ICD10 O47: False labor,0
26852,Leg pain in calf/calves (UKB data field 5463) (Gene-based burden),0
26853,"ICD10 O46: Antepartum hemorrhage, not elsewhere classified",0
26854,Leg pain on walking (UKB data field 4728) (Gene-based burden),0
26855,ICD10 N62: Hypertrophy of breast,0
26856,Leg pain on walking - action taken - Continue at same pace (UKB data field 5507) (Gene-based burden),0
26857,ICD10 O34: Maternal care for abnormality of pelvic organs,0
26858,Leg pain on walking - action taken - Slow down (UKB data field 5507) (Gene-based burden),0
26859,ICD10 Z37.0: Single live birth,0
26860,Leg pain on walking - action taken - Stop (UKB data field 5507) (Gene-based burden),0
26861,ICD10 O03.4: Incomplete spontaneous abortion without complication,0
26862,Leg pain on walking - effect of standing still - Pain usually continues for more than 10 minutes (UKB data field 5518) (Gene-based burden),0
26863,ICD10 O60: Preterm labor,0
26864,Leg pain on walking - effect of standing still - Pain usually disappears in less than 10 minutes (UKB data field 5518) (Gene-based burden),0
26865,ICD10 N93.0: Postcoital and contact bleeding,0
26866,Leg pain when standing still or sitting (UKB data field 5452) (Gene-based burden),0
26867,ICD10 D27: Benign neoplasm of ovary,0
26868,Leg pain when walking ever disappears while walking (UKB data field 5496) (Gene-based burden),0
26869,Light smokers - at least 100 smokes in lifetime (UKB data field 2644) (Gene-based burden),0
26870,ICD10 D05: Carcinoma in situ of breast,0
26871,Likelihood of resuming smoking - No definitely not (UKB data field 2936) (Gene-based burden),0
26872,"ICD10 Z34.9: Encounter for supervision of normal pregnancy, unspecified",0
26873,Likelihood of resuming smoking - No probably not (UKB data field 2936) (Gene-based burden),0
26874,ICD10 N88: Other noninflammatory disorders of cervix uteri,0
26875,Likelihood of resuming smoking probably (UKB data field 2936) (Gene-based burden),0
26876,"ICD10 O99.8: Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",0
26877,Lipid lowering medication use (Gene-based burden),0
26878,ICD10 N81.6: Rectocele,0
26879,Lipoprotein A levels (UKB data field 30790) (Gene-based burden),0
26880,"ICD10 O75: Other complications of labor and delivery, not elsewhere classified",0
26881,Visual acuity - logMAR final left (UKB data field 5208) (Gene-based burden),0
26882,ICD10 Z36: Encounter for antenatal screening of mother,0
26883,Visual acuity - logMAR final right (UKB data field 5201) (Gene-based burden),0
26884,ICD10 N72: Inflammatory disease of cervix uteri,0
26885,Loneliness (UKB data field 2020) (Gene-based burden),0
26886,ICD10 Z36.8: Encounter for other antenatal screening,0
26887,Long standing illness disability or infirmity (UKB data field 2188) (Gene-based burden),0
26888,ICD10 N93.8: Other specified abnormal uterine and vaginal bleeding,0
26889,Long term recurrent antibiotics as child or teenager (UKB data field 21067) (Gene-based burden),0
26890,ICD10 C50.9: Malignant neoplasm of breast of unspecified site,0
26891,Longest period of depression (UKB data field 4609) (Gene-based burden),0
26892,ICD10 O02.1: Missed abortion,0
26893,Longest period of mania or irritability - A week or more (UKB data field 20492) (Gene-based burden),0
26894,ICD10 Z30.1: Insertion of (intrauterine) contraceptive device,0
26895,Illnesses of siblings - 17 None of the above group 1 (UKB data field 20111) (Gene-based burden),0
26896,ICD10 Z30.5: Surveillance of (intrauterine) contraceptive device,0
26897,Illnesses of siblings - 21 Do not know group 2 (UKB data field 20111) (Gene-based burden),0
26898,ICD10 N83.0: Follicular cyst of ovary,0
26899,Illnesses of siblings - 27 None of the above group 2 (UKB data field 20111) (Gene-based burden),0
26900,ICD10 N88.2: Stricture and stenosis of cervix uteri,0
26901,Immature reticulocyte fraction (UKB data field 30280) (Gene-based burden),0
26902,ICD10 N81.5: Vaginal enterocele,0
26903,Impedance of arm left (UKB data field 23110) (Gene-based burden),0
26904,ICD10 N83.1: Corpus luteum cyst,0
26905,Impedance of arm right (UKB data field 23109) (Gene-based burden),0
26906,ICD10 N80.3: Endometriosis of pelvic peritoneum,0
26907,Impedance of leg left (UKB data field 23108) (Gene-based burden),0
26908,ICD10 O68.2: Labour and delivery complicated by fetal heart rate anomaly with meconium in amniotic fluid,0
26909,Impedance of leg right (UKB data field 23107) (Gene-based burden),0
26910,ICD10 O68.8: Labour and delivery complicated by other evidence of fetal stress,0
26911,Impedance of whole body (UKB data field 23106) (Gene-based burden),0
26912,ICD10 O68: Labor and delivery complicated by abnormality of fetal acid-base balance,0
26913,Index of Multiple Deprivation England (UKB data field 26410) (Gene-based burden),0
26914,ICD10 O68.0: Labour and delivery complicated by fetal heart rate anomaly,0
26915,Infectious illness diagnosis status when IBS symptoms first began (UKB data field 21071) (Gene-based burden),0
26916,ICD10 O68.1: Labour and delivery complicated by meconium in amniotic fluid,0
26917,Insulin levels (UKB data field 6177) (Gene-based burden),0
26918,ICD10 O70.1: Second degree perineal laceration during delivery,0
26919,Kawasaki disease,0
26920,ICD10 C79: Secondary malignant neoplasm of other and unspecified sites,0
26921,"ICD10 F05.9: Delirium, unspecified (Gene-based burden)",0
26922,ICD10 N35: Urethral stricture,0
26923,ICD10 F10: Alcohol related disorders (Gene-based burden),0
26924,ICD10 I35.0: Nonrheumatic aortic (valve) stenosis,0
26925,"ICD10 F10.0: Mental and behavioural disorders due to use of alcohol, acute intoxication (Gene-based burden)",0
26926,ICD10 I80.2: Phlebitis and thrombophlebitis of other and unspecified deep vessels of lower extremities,0
26927,ICD10 F10.1: Alcohol abuse (Gene-based burden),0
26928,ICD10 B97: Viral agents as the cause of diseases classified elsewhere,0
26929,"ICD10 F10.10: Alcohol abuse, uncomplicated (Gene-based burden)",0
26930,"ICD10 W01: Fall on same level from slipping, tripping and stumbling",0
26931,ICD10 F10.2: Alcohol dependence (Gene-based burden),0
26932,"ICD10 J18.1: Lobar pneumonia, unspecified organism",0
26933,ICD10 I42.0: Dilated cardiomyopathy,0
26934,Ever had bowel cancer screening (UKB data field 2345) (Gene-based burden),0
26935,"ICD10 I42.9: Cardiomyopathy, unspecified",0
26936,Ever had breast cancer screening mammogram (UKB data field 2674) (Gene-based burden),0
26937,"ICD10 I44.0: Atrioventricular block, first degree",0
